dist_id,district,sped_pp_diff,model_4_diff_total,model_4_diff_pp,ell_funding,sparsity_funding,model_4_total_funding,model_4_local_share_total,model_4_state_share_pp,geoid,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,gifted_enroll,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ed_funding,gifted_funding,vocational_funding,model_4_pp_funding,model_4_local_mills_total,model_4_local_pct_total,model_4_local_share_pp,model_4_state_share,model_4_local_diff_total,current_local_pp,model_4_local_diff_pp,model_4_state_diff_total,model_4_state_diff_pp,sped_pp_funding,sped_model_4_pp,at_risk_pp_funding,ed_model_4_pp,ed_pp_diff,cte_pp_funding,cte_model_4_pp,cte_pp_diff
4820,ABERDEEN,929.9161290322581,294119.69029645156,294.7091085134789,0,21552.570296452384,7605234.330296452,2053413.2691800422,5562.946955026463,2800360,7311114.640000001,7325.76617234469,5619475,1691639.64,3032312.136,1691639.64,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6265332,6277.887775551102,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,419.2598,308.382,108296.862,108.51388977955912,3233019.864,3239.498861723447,4573692.359999999,4582.858076152304,12648251,12673,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1695.0296993987977,0.003599293636682095,49.900000000000006,5988000,266400,570000,51000,887400,503111.76,14970.000000000002,190200,7620.475280858169,3032312.136,2053413.2691800422,2057.5283258317054,5551821.06111641,-4060843.340819958,6126.509629258518,-4068.9813034268122,-713510.9388835896,-714.9408205246391,4795.245161290322,5725.1612903225805,727.2338621956125,1200,472.76613780438754,177.64668769716087,600,422.35331230283913
0200,ALCORN COUNTY,768.9033391915646,828170.756000001,259.7775269761605,34800,0,23565196.8,4816058.044,5881.16021204517,2800390,22737026.044,7132.065885821832,17920968,4816058.044,4816058.044,5394777.930000001,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,19980659,6267.458908406525,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,607.314,599.344,172002.073,53.95297145545797,15164600.956,4756.775707653702,14585881.07,4575.2450031367625,29879069,9372,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0,159.4,19128000,1400400,1200000,204000,2804400,728776.7999999999,47820,821400,7391.843412797993,4816058.044,6362603.136000001,1510.683200752823,18749138.756,-4643587.446,2967.266464868256,-1456.5832641154332,-1231520.243999999,-386.2986963613548,4159.743409490334,4928.646748681898,1507.1036216346736,1200,-307.1036216346736,513.9737034331629,600,86.02629656683712
0300,AMITE COUNTY,181.86343612334804,194667.31257815845,228.2149033741598,0,196096.51257815756,7162647.912578158,1933914.936396103,6129.815915805457,2800420,6967980.6,8168.793200468933,5355735,1612245.6,3221128.96,1612245.6,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,5971280,7000.3282532239155,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,468.297,247.37,115040.32,134.86555685814773,2750151.04,3224.09266119578,4359034.4,5110.239624853459,11752351,13777,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,1890.0886283704576,0.038315066935943255,42.650000000000006,5118000,572400,435000,102000,1109400,561956.4,12795.000000000002,164400,8397.008103843093,3221128.96,1933914.936396103,2267.1921880376353,5228732.976182055,-3718945.8836038974,6627.034958968347,-4359.8427709307125,-742547.0238179453,-870.5123374184586,4705.361233480176,4887.2246696035245,553.0761821404792,1200,646.9238178595208,709.529197080292,600,-109.52919708029196
4821,AMORY,769.55859375,461988.62399999984,304.3403320158104,14400,0,11212649.76,2484282.136,5749.912795783926,2800450,10750661.136,7082.121960474308,8266379,2484282.136,2484282.136,2488441.5,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9216450,6071.442687747036,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,358.3998,315.744,88724.362,58.44819631093544,6732167.864,4434.893191040844,6728008.5,4432.153162055336,14114133,9297,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,75.9,9108000,608400,540000,153000,1301400,430079.76,22770,336000,7386.462292490119,2484282.136,3027415.4352,1636.5494967061923,8728367.624,-2178120.414,3071.4114295125164,-1434.8619328063241,-488082.37600000016,-321.52989196310955,4314.03515625,5083.59375,1253.6600346317157,1200,-53.66003463171569,422.5375,600,177.46249999999998
0400,ATTALA COUNTY,277,336283.1692928914,334.94339571005185,0,197270.4692928911,7795906.629292891,2104894.7899090806,5668.338485442043,2800510,7459623.46,7429.903844621514,5733622,1726001.4600000002,2935606.8279999997,1726001.4600000002,1004,1.7252578138630297,5643432,5620.948207171315,5710.778884462152,6392598,6367.129482071713,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,363.1468,294.17199999999997,104843.101,104.42539940239044,3456991.1720000003,3443.218298804781,4666596.54,4648.00452191235,12500425,12450,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1719.124960159363,0.032747421861369704,50.2,6024000,421200,450000,51000,922200,435776.16,15060,201600,7764.847240331565,2935606.8279999997,2104894.7899090806,2096.5087548895226,5691011.839383811,-3715165.61009092,5796.872908366534,-3700.3641534770113,-701586.1606161892,-698.7909966296702,4790.0329670329675,5067.0329670329675,806.6005399109121,1200,393.39946008908794,1001.0535714285714,600,-401.05357142857144
5920,BALDWYN,288.7307692307695,62499.85000000056,82.6717592592604,6000,0,5497140.48,1484227.9296000001,5308.0853841269845,2800540,5434640.63,7188.678082010581,4177178,1257462.63,2409164.94,1257462.63,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4657269,6160.408730158731,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,214.2504,185.97600000000003,86041.605,113.81164682539682,2248104.06,2973.682619047619,3399806.37,4497.098373015873,9259940,12248,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1663.3103571428574,0,37.800000000000004,4536000,255600,247500,0,503100,257100.48,11340.000000000002,183600,7271.349841269842,2409164.94,1484227.9296000001,1963.2644571428573,4012912.5504,-2964661.4203999992,5884.774272486772,-3921.509815343915,-644356.4495999999,-852.323346031746,4548.7692307692305,4837.5,1026.053472830109,1200,173.94652716989094,865.0490196078431,600,-265.0490196078431
2320,BAY ST. LOUIS,842.9324324324325,461260.2599999998,275.8733612440192,40800,0,12574058.4,3394995.768,5489.86999521531,2800570,12112798.14,7244.496495215311,9310149,2802649.14,7071755.796,2802649.14,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10380182,6208.242822966507,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,490.732,411.31200000000007,252562.707,151.05425059808613,3308426.204,1978.7238062200956,7577532.859999999,4532.0172607655495,21006876,12563,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1676.225562200957,0,83.60000000000001,10032000,687600,712500,102000,1502100,588878.4,25080.000000000004,385200,7520.369856459331,7071755.796,3394995.768,2030.4998612440193,9179062.632,-6928684.902,6174.450161483253,-4143.950300239234,-1201119.3680000007,-718.3728277511973,4231.72972972973,5074.6621621621625,1034.1384198825426,1200,165.86158011745738,186.10591900311528,600,413.8940809968847
0500,BENTON COUNTY,1348.2512562814072,272712.2326088743,283.77963851079494,25200,152007.20460887437,7573060.044608874,1478309.8120000002,6342.091813328693,2800600,7300347.812,7596.615829344433,5822038,1478309.8120000002,1478309.8120000002,1752617.52,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6491176,6754.605619146722,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,332.6982,281.573,52796.779,54.93941623309053,5012866.188,5216.301964620187,4738558.48,4930.862101977108,8810484,9168,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,48.050000000000004,5766000,439200,540000,51000,1030200,399237.83999999997,14415.000000000002,186000,7880.395467855228,1478309.8120000002,2044726.2120443962,1538.303654526535,6094750.232608874,-713506.6979999996,2280.7663995837665,-742.4627450572316,-396425.7673911257,-412.51380581802914,3828.6331658291456,5176.884422110553,805.73392228404,1200,394.26607771596,607.7322580645161,600,-7.732258064516145
2420,BILOXI,1384.6584766584765,4136860.75,711.7792068134895,639600,0,42992726.88,11608036.257600002,5399.9811807295255,2800630,38855866.13,6685.455287336546,29865428,8990438.13,17883311.824,8990438.13,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,33297919,5729.167068134893,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1919.1224,1511.12,638689.708,109.89155333792154,15414607.176,2652.20357467309,24307480.869999997,4182.291959738472,71163529,12244,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1546.8751083964214,0,290.6,34872000,1594800,2670000,153000,4417800,2302946.88,87180,673200,7397.234494150035,17883311.824,11608036.257600002,1997.2533134205096,31384690.6224,-25146571.492399998,6323.917369236064,-4326.664055815554,-1913228.3775999993,-329.1858874053678,4042.6142506142505,5427.272727272727,910.5978696455213,1200,289.4021303544787,385.15418894830657,600,214.84581105169343
5921,BOONEVILLE,2166.6639004149374,940790.4680000003,712.180520817562,0,0,9826177.68,1419364.2119999998,6363.976887206662,2800820,8885387.212,6726.258298258895,7466023,1419364.2119999998,1419364.2119999998,2247508.89,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8324107,6301.367903103709,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,238.9689,290.62,50691.579,38.37364042392127,6904742.788000001,5226.905971233914,6076598.109999999,4599.998569265707,12729111,9635,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955,0,66.05,7926000,489600,675000,153000,1317600,286762.68,19815,276000,7438.438819076457,1419364.2119999998,2653067.9736,1074.4619318697955,8406813.468,-2833811.378,3219.663580620742,-2145.2016487509463,82706.46800000034,62.60898410295249,3300.5560165975103,5467.219917012448,1564.5961701483332,1200,-364.59617014833316,253.08478260869566,600,346.91521739130434
